Country,Powerplant_Name,Capacity,Latitude,Longitude,Primary_Fuel
Germany,Jï¿½lich Solar Power Plant,1.5,50.915,6.3876,Solar
Germany,KW Rheinfelden,46.7,47.5699,7.8101,Hydro
Germany,KW Wyhlen,37.9,47.5524,7.6581,Hydro
Germany,KWK GÃ¼tersloh,12.1,51.9154,8.4003,Biomass
Germany,KWK Neumarkt,15.6,49.2613,11.4516,Biomass
Germany,Kachlet,53.7,48.5797,13.4083,Hydro
Germany,Kaisersesch Solar Power Plant,9.3,50.2331,7.1644,Solar
Germany,Kalenberg Solar Power Plant,3.7,50.5717,6.5995,Solar
Germany,Kamenz Solar Power Plant,3.8,51.2947,14.1298,Solar
Germany,Karwitz Solar Power Plant,10.1,53.08,11.0319,Solar
Germany,Kaufering,16.7,48.084,10.8649,Hydro
Germany,Kemnat Solar Power Plant,1.1,48.4694,11.3003,Solar
Germany,Kempfeld Solar Power Plant,2.7,49.7936,7.2509,Solar
Germany,Klanxbï¿½ll Solar Power Plant,6,54.8645,8.6481,Solar
Germany,Klausheide Solar Power Plant,4.1,52.4601,7.174,Solar
Germany,Kleinaitingen Solar Power Plant,5,48.2145,10.8664,Solar
Germany,Klettbach Solar Power Plant,1.9,50.9204,11.1657,Solar
Germany,Klï¿½den Solar Power Plant,6,52.6416,11.6552,Solar
Germany,Koblenz,16,50.3659,7.5817,Hydro
Germany,Kodersdorf Solar Power Plant,3.8,51.2301,14.9078,Solar
Germany,Koepchenwerk,153,51.4105,7.4531,Hydro
Germany,Kopswerk I,247,46.9684,10.0599,Hydro
Germany,Kraftwerk 3,18.5,48.1539,12.6524,Hydro
Germany,Kraftwerk Waldshut,150,47.6178,8.1926,Hydro
Germany,Kraftwerksgruppe Pfreimd,127,49.53,12.2848,Hydro
Germany,Krassow Solar Power Plant,8.5,53.8813,11.5827,Solar
Germany,Kremmen Solar Power Plant,6.7,52.7473,13.0419,Solar
Germany,Krumbach Solar Power Plant,5.2,48.2289,10.3431,Solar
Germany,Kï¿½ching Solar Power Plant,5.6,48.5553,13.0228,Solar
Germany,Kï¿½rlitz Solar Power Plant,2,51.3623,12.7965,Solar
Germany,Kï¿½then Solar Power Plant,45,51.7212,11.96,Solar
Germany,Laisa Solar Power Plant,2.8,50.9941,8.6225,Solar
Germany,Landau,12.6,48.6679,12.66,Hydro
Germany,Landesbergen Biomasse,20,52.577,9.1101,Biomass
Germany,Langenhahn Solar Power Plant,5.3,50.589,7.923,Solar
Germany,Langenzenn Solar Power Plant,2.2,49.4844,10.79,Solar
Germany,Laubusch Solar Power Plant,3,51.4685,14.1321,Solar
Germany,Laufenburg,104.4,47.5559,8.0494,Hydro
Germany,Lauingen - Gehrlicher Solar Power Plant,25.7,48.5369,10.4235,Solar
Germany,Lauingen - Juwi Solar Power Plant,2.8,48.5782,10.3857,Solar
Germany,Lauta Solar Power Plant,23.5,51.4567,14.1095,Solar
Germany,Lefchfeld Nord Solar Park,24.9,48.2205,10.8935,Solar
Germany,Lehmen,20,50.2747,7.459,Hydro
Germany,Leideneck Solar Power Plant,1,50.0403,7.365,Solar
Germany,Leitzach 1,136,47.8739,11.871,Hydro
Germany,Leiwen Solar Power Plant,3.6,49.8005,6.873,Solar
Germany,Lettewitz Solar Power Plant,13.3,51.6005,11.8638,Solar
Germany,Lieberose Solar Power Plant,53,51.9241,14.4084,Solar
Germany,Liepolding Bï¿½gen Solar Power Plant,2.5,48.8938,12.7437,Solar
Germany,Listerfehrda Solar Power Plant,2.9,51.8168,12.8626,Solar
Germany,Litten Solar Power Plant,38.3,51.1954,14.5194,Solar
Germany,Lobï¿½bach-Lobenfeld Solar Power Plant,5.9,49.3451,8.8586,Solar
Germany,Lochau Solar Power Plant,3.3,51.3969,12.0772,Solar
Germany,Luckau Solar Power Plant,21,51.8683,13.7868,Solar
Germany,Luckenwalde Solar Power Plant,6,52.1083,13.1635,Solar
