Country,Powerplant Name,Capacity (MW),Latitude,Longitude,Primary Fuel
Germany,Ellhï¿½ft Solar Power Plant,2,54.8912,8.958,Solar
Germany,Ellighofen Solar Power Plant,3.5,48.0038,10.8571,Solar
Germany,Ellscheid Solar Power Plant,5,50.1551,6.9303,Solar
Germany,Elsterheide Solar Power Plant,20,51.4728,14.3054,Solar
Germany,Emden Biomasse,20,53.3422,7.2062,Biomass
Germany,Emden Natural Gas,50,53.3422,7.2062,Gas
Germany,Emlichheim Solar Power Plant,5,52.6223,6.8626,Solar
Germany,Emsland,1837,52.4819,7.3067,Gas
Germany,Energieanlage 3,18.6,53.149,12.3797,Biomass
Germany,Energiezentrale,11.1,51.5744,7.2979,Gas
Germany,Energiezentrale 1992,11.06,48.3591,11.7903,Gas
Germany,Energiezentrum Mohn Media,22,51.9073,8.4088,Gas
Germany,Enertec Hameln,31.5,52.0988,9.3882,Waste
Germany,Enkirch,18.4,49.9767,7.1278,Hydro
Germany,Ergoldsbach Solar Power Plant,5.1,48.6759,12.1962,Solar
Germany,Ering,36.5,48.2935,13.1585,Hydro
Germany,Erlasee Solar Power Plant,11.4,50.0029,9.9204,Solar
Germany,Ernsthof Solar Power Plant,34.4,49.7081,9.481,Solar
Germany,Erweiterung Energiezentrale 2003,7.44,48.3591,11.7903,Gas
Germany,Erzhausen,220,51.8991,9.9245,Hydro
Germany,Espenhain Solar Power Plant,5,51.1966,12.4787,Solar
Germany,Ettling,12.6,48.6961,12.7978,Hydro
Germany,FHKW Ludwigshafen,28,49.4851,8.4262,Waste
Germany,FKK,33.5,51.2791,9.484,Coal
Germany,FS-Karton,18.9,51.2171,6.6965,Gas
Germany,Faimingen,10.1,48.5584,10.4118,Hydro
Germany,Fankel,16.4,50.1239,7.2259,Hydro
Germany,Fattendorf Solar Power Plant,1.6,48.595,13.5719,Solar
Germany,Feldkirchen,38.2,47.9609,12.1561,Hydro
Germany,Finow Solar Power Plant,84.9,52.8224,13.7012,Solar
Germany,Flensburg power station,195,54.8049,9.4324,Coal
Germany,Forst Solar Power Plant,3.6,51.721,14.6298,Solar
Germany,Fortuna Nord,15,50.9456,6.6636,Coal
Germany,Franken 1,823,49.4208,11.0077,Gas
Germany,Frauental Solar Power Plant,3.3,48.0058,10.2413,Solar
Germany,Freiberg Solar Power Plant,3,50.9085,13.3746,Solar
Germany,Freimersheim Solar Power Plant,7.3,49.7028,8.0716,Solar
Germany,Frimmersdorf power station,562,51.0574,6.5771,Coal
Germany,Froschham Solar Power Plant,4.2,48.4765,11.0995,Solar
Germany,Fï¿½rstenwalde Solar Power Plant,39.6,52.3888,14.0955,Solar
Germany,G-Kraftwerk,103,51.3689,6.6541,Coal
Germany,GHD,13.4,48.6403,12.4634,Gas
Germany,GKH Hannover power station,272,52.42,9.6486,Coal
Germany,GKL,230,52.3729,9.7142,Gas
Germany,GKM (Mannheim) power station,1958,49.4452,8.4891,Coal
Germany,GKS,24.4,50.0297,10.224,Waste
