Country,Powerplant_Name,Capacity,Latitude,Longitude,Primary_Fuel
China,Datang Binchang power station,1260,35.1359,107.9315,Coal
China,Datang Binzhou power station,700,37.4674,118.047,Coal
China,Datang Changqing Phase 1 Wind,49,36.328,116.599,Wind
China,Datang Changqing Phase 2 Wind,49,36.348,116.654,Wind
China,Datang Changshan power station,660,45.317,124.4893,Coal
China,Datang Changyi Phase 1,49,37.132,121.08,Wind
China,Datang Chifeng Bolike Ii Wind,49,42.6333,118.0167,Wind
China,Datang Chifeng Danianzi Wind,49,42.62,117.93,Wind
China,Datang Delingha,10,37.3445,97.1769,Solar
China,Datang Dongping Wind,49,37.028,116.22,Wind
China,Datang Duolun Daxishan Farm Ii,30,42.258,116.3391,Wind
China,Datang Duolun Daxishan Phase 3,49,42.2742,116.3378,Wind
China,Datang Fuzhou power station,2000,27.7855,116.5638,Coal
China,Datang Gangu power station,660,34.7557,105.1008,Coal
China,Datang Guangyuan Fangdiping,30,32.535,105.7703,Wind
China,Datang Haiyang Xujiadian Phase 1,49,37.1208,121.0525,Wind
China,Datang Hami,20,43.01,93.602,Solar
China,Datang Harbin power station,600,45.7117,126.4655,Coal
China,Datang Heshan power station,1330,23.8218,108.8669,Coal
China,Datang Hunchun power station,660,42.8953,130.2891,Coal
China,Datang Hutubi power station,600,44.1508,86.8229,Coal
China,Datang Jia County Yunyang,34,33.8772,113.3644,Wind
China,Datang Jiaonan Liuwang Phase 1,49,35.9367,119.735,Wind
China,Datang Jiaonan Liuwang Phase 2 Wind,49,35.9612,119.8183,Wind
China,Datang Jilin Datong,49,45.413,122.417,Wind
China,Datang Jilin Shuangliao,49,43.5218,123.2,Wind
China,Datang Jingtai power station,1320,37.2316,104.1681,Coal
China,Datang Jixian Taiping Wind,49,46.875,130.75,Wind
China,Datang Kazuo Shuangmiao,49,41.1065,119.6645,Wind
China,Datang Kezuohouqi Hariwusu,49,42.921,122.441,Wind
China,Datang Liancheng-2 power station,600,36.5195,102.8682,Coal
China,Datang Linzhou power station,700,36.1087,113.8627,Coal
China,Datang Lueyang power station,660,33.3467,106.1422,Coal
China,Datang Luoyang Shouyangshan power station,1040,34.7325,112.7554,Coal
China,Datang Luoyang power station,1045,34.682,112.3777,Coal
China,Datang Maanshan Dangtu power station,1320,31.5347,118.4139,Coal
China,Datang Matou power station,1020,36.4873,114.4246,Coal
