Country,Powerplant_Name,Capacity,Latitude,Longitude,Primary_Fuel
China,Datang New Energy Chayouhouqi Hanwula,49,41.3694,112.9222,Wind
China,Datang New Energy Lingao Offshore Experimental,6,20.0172,109.7072,Wind
China,Datang Ningxia Ningdong,49,37.7396,106.4229,Wind
China,Datang Ningxia Ningdong (Baitugang Town Changliushui),49,37.7747,106.393,Wind
China,Datang Ningxia Taiyangshan Phase 2,49,37.5034,106.4418,Wind
China,Datang Ningxia Taiyangshan Phase 3,49,37.5471,106.3976,Wind
China,Datang Pingdu Xinhe,49,36.9971,119.5721,Wind
China,Datang Pingyin Phase 1 Wind,49,36.252,116.508,Wind
China,Datang Pingyin Phase 2 Wind,49,36.128,116.341,Wind
China,Datang Qingyuan Phase 2 Wind,34,36.7728,111.4175,Wind
China,Datang Qixia Sujiadian Phase 1,49,37.3958,120.7017,Wind
China,Datang Qixia Zangjiazhuang Garden,49,37.5615,120.8431,Wind
China,Datang Tulufan,20,43.13,89.313,Solar
China,Datang Tuquan Laoyeling Phase 2,49,45.555,121.354,Wind
China,Datang Wendeng Phase 2 Wind,49,36.96,122.11,Wind
China,Datang Wendeng Wind,49,36.9317,122.0858,Wind
China,Datang Zhaoyuan Jinling Phase 1,49,37.3156,120.2664,Wind
China,Dawalong,24,28.7,100.3,Hydro
China,Daxia,324.5,36.15,104.01,Hydro
China,Dayangpuzi,100.5,41.13,112.75,Wind
China,Dehe Zhangbei Phase 1,49,41.0864,114.7414,Wind
China,Dehe Zhangbei Phase 2,49,41.1,114.79,Wind
China,Dengkou,20,40.4,107.01,Solar
China,Dengxinqiao,5,32.3211,108.6056,Hydro
China,Deqin County Cizhong River,24,28.0225,98.8638,Hydro
China,Diaobingshan Wind,49,42.44,123.5128,Wind
China,Diaoluohe Hydro,7,18.43,109.43,Hydro
China,Diebu Lazikou Ii Hydro,5,34.0764,103.8944,Hydro
China,Diebu Lazikou Iii,5,34.0392,103.9092,Hydro
China,Diluo Hydroelectric,100,27.5811,103.0447,Hydro
China,Diqing Prefecture Niru River Muxingtu,120,27.7341,100.2935,Hydro
China,Dong Feng,695,26.86,106.15,Hydro
China,Dong River Dongyuan,20,23.8667,114.9061,Hydro
China,Dongbaishan,15,29.4828,120.4423,Wind
China,Donghai Bridge,102,30.77,121.98,Wind
China,Dongjiang,500,25.87,113.31,Hydro
China,Dongling,45,32.59,120.95,Wind
China,Dongliuxi Erji,12,30.53,110.75,Hydro
China,Dongping Dam,110,30.1438,109.6162,Hydro
China,Dongshan,57.2,42.62,117.94,Wind
China,Dongtai Tidal Flat Solar Park 1,30,32.64,120.91,Solar
China,Dongtai Tidal Flat Solar Park 2,30,32.64,120.95,Solar
China,Dongxinrong (Huaneng),250.95,44.71,122.74,Wind
China,Dongying,7,37.48,118.75,Solar
China,Dongzhangjia,50.25,42.81,124.18,Wind
China,Dujiawan Small,4,36.5906,102.8339,Hydro
China,Dukouba Chongqing City,129,31.14,109.05,Hydro
China,Dundunliang,52.5,37.31,105.91,Wind
China,Ebian Yi County Shugujiao,8,28.9414,103.1997,Hydro
China,Erligetu,49,41.7709,113.9226,Wind
China,Erlongshan,50,38.5557,100.2726,Hydro
China,Ertan,3300,26.82,101.78,Hydro
China,Eryuan Huian,12,26.1128,99.7686,Hydro
China,Eshan Wind Haiyang City,49,37.044,121.202,Wind
China,Everbright Suqian & Huaining Bundled,10.28,30.77,116.8,Solar
China,Everbright Zhenjiang,13.3,32.17,119.65,Solar
China,Fang County Jimingkou,7,31.6197,110.1264,Hydro
China,Fang'an,75,40.37,120.57,Wind
China,Fangjiatun,49.5,42.69,122.86,Wind
China,Fanjiazhai,49,37.1967,105.29,Wind
China,Feilaixia Dam,140,23.8017,113.259,Hydro
China,Fengguang,24,23.645,114.675,Hydro
China,Fengman,809,43.72,126.69,Hydro
China,Fengshuba Dam,150,24.4121,115.3607,Hydro
China,Fengtan,800,28.72,110.27,Hydro
China,Fourth Cascade Buguanhe River,6,24.5695,101.1765,Hydro
China,Fuan,30,27.1797,119.6633,Hydro
China,Fuchuan Longtou Phase 1,49,24.7833,111.2833,Wind
China,Fuchunjiang,297.2,29.71,119.65,Hydro
China,Fugong Labuluo,24,26.33,98.52,Hydro
China,Fugong Latudi River,18,26.9003,98.8456,Hydro
China,Fujian Dongshan Wujiaobay Wind,30,24.31,117.39,Wind
China,Fujian Fuqing Gaoshan Phase 1 Wind,20,25.485,119.605,Wind
China,Fujian Hua`An Mianliang,44,24.91,117.51,Hydro
China,Fujian Huian Xiaozuo Wind,22,24.9616,119.0243,Wind
China,Fujian Jiangle Gaotang,42,26.6833,117.45,Hydro
China,Fujian Jianyang Huangtangjia,11,27.2561,118.2705,Hydro
China,Fujian Jianyang Huilong,5,27.4758,118.4433,Hydro
China,Fujian Jianyang Longjiang,3,27.556,118.384,Hydro
China,Fujian Lianjiang Beijiao Wind,48,26.2082,119.5354,Wind
China,Fujian Longyan Tingzhou,25,25.47,116.6617,Hydro
China,Fujian Muyangxi River Fengyuan,80,27.0982,119.4524,Hydro
China,Fujian Nanping Xiayang,43,26.7747,117.9831,Hydro
China,Fujian Nanridao Wind,16,25,119,Wind
China,Fujian Ningde Sanjianxi,13,26.88,119.36,Hydro
China,Fujian Niutoushan,100,27.3447,119.4914,Hydro
China,Fujian Pingnan Jinzaoqiao,66,26.53,119.065,Hydro
China,Fujian Pingnan Jiufeng,2,26.837,118.754,Hydro
China,Fujian Pingnan Lidaping Expansion,20,26.534,119.102,Hydro
China,Fujian Pingnan Liyudang,9,26.812,119.337,Hydro
China,Fujian Pingnan Tingtougang,8,26.95,118.95,Hydro
China,Fujian Pingnan Yuanping Expansion,16,26.8964,119.2193,Hydro
China,Fujian Pingtan Changjiangao Wind,100,25.5626,119.7714,Wind
China,Fujian Pucheng Taipingqiao,6,28.115,118.5686,Hydro
China,Fujian Putian Nanri Phase 3 Wind,48,25.2047,119.4917,Wind
China,Fujian Qingfeng Wind,48,25.38,119.45,Wind
China,Fujian Shanghang Huilong,9,25.3686,116.3389,Hydro
China,Fujian Shanghang Jiantou,9,25.1389,116.37,Hydro
China,Fujian Shaowu Jintang,11,27.2147,117.589,Hydro
China,Fujian Shaowu Jinwei,16,27.03,117.686,Hydro
China,Fujian Shouning Pingfeng,30,27.4206,119.3053,Hydro
China,Fujian Wutong,25,25.73,118.745,Hydro
China,Fujian Wuyishan Kengkou,6,27.87,117.97,Hydro
China,Fujian Xietan,15,27.3001,119.5364,Hydro
China,Fujian Yongan Fenghai,30,26.0193,117.2029,Hydro
China,Fujian Zhangping Huakou Plant,36,25.2806,117.523,Hydro
China,Fujian Zhangpu Liuao Wind,30,25.3308,118.7433,Wind
China,Fujian Zhaokou,60,26.41,118.1,Hydro
China,Fumeng Gulibengao,49,42.1833,121.45,Wind
China,Fumeng Maniuhu,49,42.2667,121.3667,Wind
China,Fumin Dafengyakou Wind,33,25.167,102.483,Wind
China,Fumin Mayingshan Wind,40,25.2014,102.4242,Wind
China,Funchunjiang Dam,297.2,29.7096,119.6533,Hydro
China,Funing County Baida,12,23.6675,106.0892,Hydro
China,Funing County Gula Township Nalin,12,23.5711,106.0389,Hydro
China,Fuqing Jiaru,48,25.5703,113.548,Wind
China,Fuqing Jiaru Wind Power Phase 2,48,25.571,119.554,Wind
China,Fuqing Zeqi,48,25.4708,119.4777,Wind
China,Futangba,360,31.38,103.52,Hydro
China,Fuxin Kaidi Tailama Dongshan Wind,49,42.0768,121.273,Wind
China,GD Power & Shenzhou PV,10,38.65,105.63,Solar
China,Gangxi,69,37,122.09,Wind
China,Ganluo Aga,21,28.7597,102.8567,Hydro
China,Ganluo Camp,24,28.7253,102.7817,Hydro
China,Ganluo County Dazi,9,28.6611,102.9133,Hydro
China,Ganluo Wagujiao,24,28.8322,102.8225,Hydro
China,Gansu Bailong River Suoertou Hydroelectric,66,33.78,104.3583,Hydro
China,Gansu Baishuijiang Hengdan,25,32.8547,104.8564,Hydro
China,Gansu Bazang,51,33.9273,104.004,Hydro
China,Gansu Dang River,35,39.4923,97.3423,Hydro
China,Gansu Datonghe Liancheng 2nd Stage,12,36.5456,102.8778,Hydro
China,Gansu Diebu Duoer,32,33.3,103.3,Hydro
China,Gansu Diebu Niaojiaga,12,33.58,103.31,Hydro
China,Gansu Dunhuang,50,40.11,94.478,Solar
China,Gansu Heihe Baopinghe,123,38.4,100.05,Hydro
China,Gansu Huadian Minqin,10,38.95,102.47,Solar
China,Gansu Huangshui Baichuan,36,36.1175,102.8306,Hydro
China,Gansu Jinchang Xitan,49,38.7675,102.1861,Wind
China,Gansu Jinchuan,50,38.6,102.16,Solar
China,Gansu Jingtieshan Hydro,26,38.5557,100.2728,Hydro
China,Gansu Jinta,10,39.95,98.982,Solar
